home_team,away_team,home_score,away_score,Total_Shots,Possession,Player_Rating
Real Madrid,Ath.Bilbao,3,0,0.726086957,0.120521739,0.409565217
Real Madrid,Barcelona,0,1,0.482608696,0.117043478,0.34
Real Madrid,Ath.Madrid,0,0,0.413043478,0.11773913,0.34
Real Madrid,Valencia,2,0,0.691304348,0.120521739,0.360869565
Real Madrid,Sevilla,2,0,0.795652174,0.121217391,0.371304348
Real Madrid,Espanyol,1,0,0.691304348,0.118434783,0.357391304
Real Madrid,Real Sociedad,0,2,0.517391304,0.119826087,0.346956522
Real Madrid,Villareal,3,2,0.691304348,0.11773913,0.353913043
Real Madrid,Eibar,2,1,0.760869565,0.121217391,0.374782609
Ath.Bilbao,Real Madrid,1,1,0.447826087,0.118086957,0.336521739
Barcelona,Real Madrid,5,1,0.447826087,0.116347826,0.326086957
Ath.Madrid,Real Madrid,1,3,0.760869565,0.120173913,0.371304348
Valencia,Real Madrid,2,1,0.62173913,0.119130435,0.360869565
Sevilla,Real Madrid,3,0,0.865217391,0.117043478,0.326086957
Espanyol,Real Madrid,2,4,0.726086957,0.119826087,0.374782609
Real Sociedad,Real Madrid,3,1,0.586956522,0.117043478,0.326086957
Villareal,Real Madrid,2,2,0.62173913,0.116695652,0.353913043
Eibar,Real Madrid,3,0,0.447826087,0.116347826,0.312173913
Barcelona,Ath.Bilbao,1,1,0.691304348,0.118434783,0.360869565
Barcelona,Ath.Madrid,2,0,0.552173913,0.120869565,0.395652174
Barcelona,Valencia,2,2,0.691304348,0.120173913,0.360869565
Barcelona,Sevilla,4,2,0.726086957,0.121217391,0.423478261
Barcelona,Espanyol,2,0,0.795652174,0.121565217,0.423478261
Barcelona,Real Sociedad,2,1,0.447826087,0.119826087,0.395652174
Barcelona,Villareal,2,0,0.62173913,0.120521739,0.374782609
Barcelona,Eibar,3,0,0.865217391,0.122608696,0.360869565
Ath.Bilbao,Barcelona,0,0,0.726086957,0.119826087,0.336521739
Ath.Madrid,Barcelona,1,1,0.447826087,0.120521739,0.360869565
Valencia,Barcelona,1,1,0.552173913,0.119130435,0.371304348
Sevilla,Barcelona,2,4,0.691304348,0.120521739,0.409565217
Espanyol,Barcelona,0,4,0.726086957,0.119826087,0.416521739
Real Sociedad,Barcelona,1,2,0.691304348,0.118086957,0.395652174
Villareal,Barcelona,4,4,0.795652174,0.120521739,0.374782609
Eibar,Barcelona,2,2,0.726086957,0.120869565,0.360869565
Ath.Madrid,Eibar,1,1,0.447826087,0.11773913,0.336521739
Ath.Madrid,Villareal,2,0,0.586956522,0.119130435,0.346956522
Ath.Madrid,Real Sociedad,2,0,0.62173913,0.120521739,0.357391304
Ath.Madrid,Espanyol,1,0,0.447826087,0.118086957,0.34
Ath.Madrid,Sevilla,1,1,0.552173913,0.11773913,0.336521739
Ath.Madrid,Valencia,3,2,0.726086957,0.119130435,0.346956522
Ath.Madrid,Ath.Bilbao,3,2,0.586956522,0.120521739,0.357391304
Eibar,Ath.Madrid,0,1,0.482608696,0.119826087,0.336521739
Villareal,Ath.Madrid,1,1,0.726086957,0.118782609,0.322608696
Real Sociedad,Ath.Madrid,0,2,0.482608696,0.119130435,0.350434783
Espanyol,Ath.Madrid,3,0,0.413043478,0.117043478,0.312173913
Sevilla,Ath.Madrid,1,1,0.517391304,0.116695652,0.333043478
Valencia,Ath.Madrid,1,1,0.447826087,0.118782609,0.34
Ath.Bilbao,Ath.Madrid,2,0,0.413043478,0.11773913,0.315652174
Ath.Bilbao,Valencia,0,0,0.447826087,0.119130435,0.312173913
Ath.Bilbao,Sevilla,2,0,0.62173913,0.120173913,0.360869565
Ath.Bilbao,Espanyol,1,1,0.552173913,0.119826087,0.34
Ath.Bilbao,Real Sociedad,1,3,0.413043478,0.11773913,0.319130435
Ath.Bilbao,Villareal,0,3,0.37826087,0.117391304,0.308695652
Ath.Bilbao,Eibar,1,0,0.656521739,0.120173913,0.336521739
Valencia,Ath.Bilbao,2,0,0.413043478,0.115304348,0.312173913
Sevilla,Ath.Bilbao,2,0,0.482608696,0.116347826,0.308695652
Espanyol,Ath.Bilbao,1,0,0.447826087,0.117043478,0.305217391
Real Sociedad,Ath.Bilbao,2,1,0.37826087,0.116347826,0.294782609
Villareal,Ath.Bilbao,1,1,0.482608696,0.11773913,0.322608696
Eibar,Ath.Bilbao,1,1,0.691304348,0.119826087,0.312173913
Valencia,Villareal,3,0,0.760869565,0.119478261,0.346956522
Valencia,Eibar,0,1,0.37826087,0.11773913,0.312173913
Valencia,Real Sociedad,0,0,0.482608696,0.119826087,0.322608696
Valencia,Espanyol,0,0,0.552173913,0.11773913,0.319130435
Valencia,Sevilla,1,1,0.482608696,0.118782609,0.319130435
Villareal,Valencia,0,0,0.447826087,0.116695652,0.305217391
Eibar,Valencia,1,1,0.482608696,0.116695652,0.312173913
Real Sociedad,Valencia,0,1,0.586956522,0.117043478,0.333043478
Espanyol,Valencia,2,0,0.37826087,0.114608696,0.277391304
Sevilla,Valencia,0,1,0.691304348,0.119130435,0.315652174
Sevilla,Eibar,2,2,0.62173913,0.119826087,0.34
Sevilla,Villareal,0,0,0.447826087,0.118086957,0.326086957
Sevilla,Real Sociedad,5,2,0.691304348,0.118782609,0.343478261
Sevilla,Espanyol,2,1,0.552173913,0.119826087,0.34
Eibar,Sevilla,1,3,0.760869565,0.121217391,0.343478261
Villareal,Sevilla,3,0,0.552173913,0.11773913,0.308695652
Real Sociedad,Sevilla,0,0,0.482608696,0.116695652,0.30173913
Espanyol,Sevilla,0,1,0.62173913,0.117043478,0.326086957
Villareal,Eibar,1,0,0.586956522,0.118782609,0.333043478
Villareal,Real Sociedad,1,2,0.482608696,0.117043478,0.315652174
Villareal,Espanyol,2,2,0.552173913,0.119826087,0.34
Eibar,Villareal,0,0,0.447826087,0.119478261,0.315652174
Real Sociedad,Villareal,0,1,0.726086957,0.120521739,0.312173913
Espanyol,Villareal,3,1,0.447826087,0.117043478,0.30173913
Eibar,Real Sociedad,2,1,0.447826087,0.11773913,0.312173913
Eibar,Espanyol,3,0,0.482608696,0.118434783,0.333043478
Espanyol,Eibar,1,0,0.447826087,0.116,0.277391304
Real Sociedad,Eibar,1,1,0.482608696,0.115652174,0.29826087
Real Sociedad,Espanyol,3,2,0.656521739,0.119826087,0.336521739
Espanyol,Real Sociedad,2,0,0.447826087,0.120173913,0.30173913
Real Madrid,Ath.Bilbao,1,1,0.691304348,0.120521739,0.371304348
Real Madrid,Barcelona,0,3,0.482608696,0.114956522,0.336521739
Real Madrid,Ath.Madrid,1,1,0.62173913,0.120869565,0.38173913
Real Madrid,Valencia,2,2,0.586956522,0.118782609,0.353913043
Real Madrid,Sevilla,5,0,0.865217391,0.121217391,0.416521739
Real Madrid,Espanyol,2,0,0.586956522,0.119826087,0.357391304
Real Madrid,Real Sociedad,5,2,0.691304348,0.120521739,0.406086957
Real Madrid,Villareal,0,1,0.447826087,0.120173913,0.34
Real Madrid,Eibar,3,0,0.691304348,0.120521739,0.430434783
Ath.Bilbao,Real Madrid,0,0,0.552173913,0.117043478,0.34
Barcelona,Real Madrid,2,2,0.586956522,0.117043478,0.371304348
Ath.Madrid,Real Madrid,0,0,0.586956522,0.118782609,0.326086957
Valencia,Real Madrid,1,4,0.795652174,0.119826087,0.409565217
Sevilla,Real Madrid,3,2,0.586956522,0.11773913,0.343478261
Espanyol,Real Madrid,1,0,0.726086957,0.119130435,0.34
Real Sociedad,Real Madrid,1,3,0.586956522,0.120173913,0.38173913
Villareal,Real Madrid,2,2,0.552173913,0.119826087,0.374782609
Eibar,Real Madrid,1,2,0.760869565,0.11773913,0.343478261
Barcelona,Ath.Bilbao,2,0,0.517391304,0.120521739,0.399130435
Barcelona,Ath.Madrid,1,0,0.691304348,0.121565217,0.371304348
Barcelona,Valencia,2,1,0.656521739,0.120521739,0.406086957
Barcelona,Sevilla,2,1,0.586956522,0.119826087,0.395652174
Barcelona,Espanyol,5,0,0.691304348,0.120521739,0.430434783
Barcelona,Real Sociedad,1,0,0.517391304,0.121217391,0.360869565
Barcelona,Villareal,5,1,0.656521739,0.121217391,0.430434783
Barcelona,Eibar,6,1,0.865217391,0.12226087,0.437391304
Ath.Bilbao,Barcelona,0,2,0.726086957,0.119826087,0.402608696
Ath.Madrid,Barcelona,1,1,0.62173913,0.119478261,0.360869565
Valencia,Barcelona,1,1,0.482608696,0.120173913,0.371304348
Sevilla,Barcelona,2,2,0.691304348,0.119826087,0.353913043
Espanyol,Barcelona,1,1,0.447826087,0.120521739,0.371304348
Real Sociedad,Barcelona,2,4,0.656521739,0.119826087,0.430434783
Villareal,Barcelona,0,2,0.517391304,0.11773913,0.395652174
Eibar,Barcelona,0,2,0.726086957,0.121217391,0.374782609
Ath.Madrid,Eibar,2,2,0.656521739,0.11773913,0.357391304
Ath.Madrid,Villareal,1,1,0.447826087,0.118782609,0.346956522
Ath.Madrid,Real Sociedad,2,1,0.586956522,0.119826087,0.350434783
Ath.Madrid,Espanyol,0,2,0.482608696,0.117043478,0.326086957
Ath.Madrid,Sevilla,2,0,0.656521739,0.11773913,0.350434783
Ath.Madrid,Valencia,1,0,0.447826087,0.119826087,0.346956522
Ath.Madrid,Ath.Bilbao,2,0,0.62173913,0.119130435,0.360869565
Eibar,Ath.Madrid,0,1,0.586956522,0.119478261,0.343478261
Villareal,Ath.Madrid,2,1,0.482608696,0.11773913,0.333043478
Real Sociedad,Ath.Madrid,3,0,0.413043478,0.116347826,0.319130435
Espanyol,Ath.Madrid,1,0,0.37826087,0.117043478,0.312173913
Sevilla,Ath.Madrid,2,5,0.726086957,0.11773913,0.371304348
Valencia,Ath.Madrid,0,0,0.447826087,0.11773913,0.34
Ath.Bilbao,Ath.Madrid,1,2,0.552173913,0.119130435,0.353913043
Ath.Bilbao,Valencia,1,1,0.447826087,0.11773913,0.336521739
Ath.Bilbao,Sevilla,1,0,0.482608696,0.118782609,0.371304348
Ath.Bilbao,Espanyol,0,1,0.447826087,0.11773913,0.333043478
Ath.Bilbao,Real Sociedad,0,0,0.517391304,0.119130435,0.350434783
Ath.Bilbao,Villareal,1,1,0.586956522,0.11773913,0.333043478
Ath.Bilbao,Eibar,1,1,0.656521739,0.119130435,0.34
Valencia,Ath.Bilbao,3,2,0.482608696,0.116695652,0.326086957
Sevilla,Ath.Bilbao,2,0,0.691304348,0.11773913,0.312173913
Espanyol,Ath.Bilbao,1,1,0.517391304,0.119826087,0.326086957
Real Sociedad,Ath.Bilbao,3,1,0.586956522,0.115304348,0.333043478
Villareal,Ath.Bilbao,1,3,0.62173913,0.117043478,0.346956522
Eibar,Ath.Bilbao,0,1,0.691304348,0.115652174,0.353913043
Valencia,Villareal,0,1,0.62173913,0.118782609,0.336521739
Valencia,Eibar,0,0,0.552173913,0.120173913,0.34
Valencia,Real Sociedad,2,1,0.691304348,0.119826087,0.350434783
Valencia,Espanyol,1,0,0.586956522,0.11773913,0.346956522
Valencia,Sevilla,4,0,0.62173913,0.120173913,0.350434783
Villareal,Valencia,1,0,0.517391304,0.116347826,0.322608696
Eibar,Valencia,2,1,0.552173913,0.11773913,0.336521739
Real Sociedad,Valencia,2,3,0.62173913,0.11773913,0.360869565
Espanyol,Valencia,0,2,0.517391304,0.11773913,0.346956522
Sevilla,Valencia,0,2,0.586956522,0.11773913,0.350434783
Sevilla,Eibar,3,0,0.586956522,0.121217391,0.346956522
Sevilla,Villareal,2,2,0.517391304,0.118782609,0.333043478
Sevilla,Real Sociedad,1,0,0.447826087,0.11773913,0.34
Sevilla,Espanyol,1,1,0.691304348,0.119826087,0.346956522
Eibar,Sevilla,5,1,0.517391304,0.117043478,0.326086957
Villareal,Sevilla,2,3,0.586956522,0.118434783,0.333043478
Real Sociedad,Sevilla,3,1,0.517391304,0.119130435,0.308695652
Espanyol,Sevilla,0,3,0.586956522,0.119478261,0.346956522
Villareal,Eibar,3,0,0.552173913,0.119130435,0.346956522
Villareal,Real Sociedad,4,2,0.656521739,0.118782609,0.34
Villareal,Espanyol,0,0,0.447826087,0.120173913,0.326086957
Eibar,Villareal,1,0,0.586956522,0.11773913,0.322608696
Real Sociedad,Villareal,3,0,0.552173913,0.116347826,0.308695652
Espanyol,Villareal,1,1,0.552173913,0.116695652,0.333043478
Eibar,Real Sociedad,0,0,0.37826087,0.118086957,0.315652174
Eibar,Espanyol,3,1,0.517391304,0.120173913,0.34
Espanyol,Eibar,0,1,0.482608696,0.117043478,0.336521739
Real Sociedad,Eibar,3,1,0.552173913,0.116,0.315652174
Real Sociedad,Espanyol,1,1,0.447826087,0.11773913,0.346956522
Espanyol,Real Sociedad,2,1,0.656521739,0.118782609,0.333043478
Real Madrid,Ath.Bilbao,2,1,0.586956522,0.120521739,0.402608696
Real Madrid,Barcelona,2,3,0.447826087,0.117043478,0.371304348
Real Madrid,Ath.Madrid,1,1,0.413043478,0.119130435,0.360869565
Real Madrid,Valencia,2,1,0.447826087,0.119826087,0.42
Real Madrid,Sevilla,4,1,0.482608696,0.120173913,0.406086957
Real Madrid,Espanyol,2,0,0.552173913,0.120869565,0.395652174
Real Madrid,Real Sociedad,3,0,0.517391304,0.121217391,0.388695652
Real Madrid,Villareal,1,1,0.447826087,0.119130435,0.371304348
Real Madrid,Eibar,1,1,0.865217391,0.121913043,0.357391304
Ath.Bilbao,Real Madrid,1,2,0.413043478,0.11773913,0.360869565
Barcelona,Real Madrid,1,1,0.586956522,0.117391304,0.371304348
Ath.Madrid,Real Madrid,0,3,0.517391304,0.119478261,0.395652174
Valencia,Real Madrid,2,1,0.343478261,0.117043478,0.350434783
Sevilla,Real Madrid,2,1,0.37826087,0.116347826,0.34
Espanyol,Real Madrid,0,2,0.586956522,0.119130435,0.395652174
Real Sociedad,Real Madrid,0,3,0.691304348,0.120521739,0.392173913
Villareal,Real Madrid,2,3,0.482608696,0.119478261,0.385217391
Eibar,Real Madrid,1,4,0.552173913,0.120173913,0.395652174
Barcelona,Ath.Bilbao,3,0,0.447826087,0.118782609,0.392173913
Barcelona,Ath.Madrid,1,1,0.482608696,0.120521739,0.353913043
Barcelona,Valencia,4,2,0.691304348,0.121217391,0.402608696
Barcelona,Sevilla,3,0,0.62173913,0.120521739,0.409565217
Barcelona,Espanyol,4,1,0.517391304,0.121913043,0.385217391
Barcelona,Real Sociedad,3,2,0.447826087,0.121217391,0.395652174
Barcelona,Villareal,4,1,0.586956522,0.12226087,0.42
Barcelona,Eibar,4,2,0.691304348,0.121565217,0.409565217
Ath.Bilbao,Barcelona,0,1,0.517391304,0.120173913,0.350434783
Ath.Madrid,Barcelona,1,2,0.413043478,0.119130435,0.360869565
Valencia,Barcelona,2,3,0.656521739,0.118086957,0.374782609
Sevilla,Barcelona,1,2,0.726086957,0.120521739,0.346956522
Espanyol,Barcelona,0,3,0.62173913,0.120869565,0.409565217
Real Sociedad,Barcelona,1,1,0.482608696,0.118434783,0.357391304
Villareal,Barcelona,1,1,0.447826087,0.119826087,0.360869565
Eibar,Barcelona,0,4,0.865217391,0.12226087,0.374782609
Ath.Madrid,Eibar,1,0,0.517391304,0.119826087,0.350434783
Ath.Madrid,Villareal,0,1,0.37826087,0.120173913,0.319130435
Ath.Madrid,Real Sociedad,1,0,0.552173913,0.120521739,0.357391304
Ath.Madrid,Espanyol,0,0,0.447826087,0.118086957,0.34
Ath.Madrid,Sevilla,3,1,0.586956522,0.119130435,0.346956522
Ath.Madrid,Valencia,3,0,0.552173913,0.119826087,0.360869565
Ath.Madrid,Ath.Bilbao,3,1,0.482608696,0.119130435,0.350434783
Eibar,Ath.Madrid,0,2,0.586956522,0.119826087,0.346956522
Villareal,Ath.Madrid,3,0,0.447826087,0.11773913,0.315652174
